Date,Action,Contracts,Price,Total Held,Avg Entry,P/L Pts,P/L USD,Reason
2025-01-07,BUY,1,21375.5,1,,,,
2025-01-10,BUY,1,20997.75,2,,,,
2025-01-16,BUY,1,21214.25,3,,,,
2025-01-21,SELL ALL,3,21772.5,0,21195.83,1730.0,34600.0,IBS Exit
2025-01-24,BUY,1,21907.75,1,,,,
2025-01-31,BUY,1,21571.0,2,,,,
2025-02-03,SELL ALL,2,21553.25,0,21739.38,-372.25,-7445.0,IBS Exit
2025-02-07,BUY,1,21575.25,1,,,,
2025-02-10,SELL ALL,1,21837.0,0,21575.25,261.75,5235.0,IBS Exit
2025-02-21,BUY,1,21660.0,1,,,,
2025-02-24,BUY,1,21427.25,2,,,,
2025-02-27,BUY,1,20633.25,3,,,,
2025-02-28,SELL ALL,3,20909.0,0,21240.17,-993.5,-19870.0,IBS Exit
2025-03-03,BUY,1,20530.75,1,,,,
2025-03-06,BUY,1,20173.5,2,,,,
2025-03-10,BUY,1,19472.0,3,,,,
2025-03-13,BUY,1,19293.0,4,,,,
2025-03-18,BUY,1,19704.0,5,,,,
2025-03-21,SELL ALL,5,19970.75,0,19834.65,680.5,13610.0,IBS Exit
2025-03-26,BUY,1,20090.5,1,,,,
2025-03-27,BUY,1,19997.25,2,,,,
2025-03-28,BUY,1,19361.0,3,,,,
2025-04-02,BUY,1,19152.25,4,,,,
2025-04-03,BUY,1,18648.5,5,,,,
2025-04-09,SELL ALL,5,19353.5,0,19449.9,-482.0,-9640.0,IBS Exit
2025-05-01,BUY,1,19799.0,1,,,,
2025-05-12,SELL ALL,1,20957.0,0,19799.0,1158.0,23160.0,IBS Exit
2025-05-21,BUY,1,21145.5,1,,,,
2025-05-27,SELL ALL,1,21477.0,0,21145.5,331.5,6630.0,IBS Exit
2025-05-29,BUY,1,21385.0,1,,,,
2025-06-02,SELL ALL,1,21554.5,0,21385.0,169.5,3390.0,IBS Exit
2025-06-05,BUY,1,21515.0,1,,,,
2025-06-16,SELL ALL,1,22162.75,0,21515.0,647.75,12955.0,IBS Exit
2025-06-17,BUY,1,21952.0,1,,,,
2025-06-23,SELL ALL,1,22072.25,0,21952.0,120.25,2405.0,IBS Exit
2025-07-07,BUY,1,22839.0,1,,,,
2025-07-14,SELL ALL,1,23036.25,0,22839.0,197.25,3945.0,IBS Exit
2025-07-15,BUY,1,23017.75,1,,,,
2025-07-17,SELL ALL,1,23265.5,0,23017.75,247.75,4955.0,IBS Exit
2025-07-29,BUY,1,23452.0,1,,,,
2025-07-30,SELL ALL,1,23661.75,0,23452.0,209.75,4195.0,IBS Exit
2025-07-31,BUY,1,23329.5,1,,,,
2025-08-01,BUY,1,22870.0,2,,,,
2025-08-04,SELL ALL,2,23350.75,0,23099.75,502.0,10040.0,IBS Exit
2025-08-05,BUY,1,23092.0,1,,,,
2025-08-06,SELL ALL,1,23413.25,0,23092.0,321.25,6425.0,IBS Exit
2025-08-11,BUY,1,23629.5,1,,,,
2025-08-12,SELL ALL,1,23949.5,0,23629.5,320.0,6400.0,IBS Exit
2025-08-13,BUY,1,23927.75,1,,,,
2025-08-15,BUY,1,23796.75,2,,,,
2025-08-19,BUY,1,23473.5,3,,,,
2025-08-22,SELL ALL,3,23582.75,0,23732.67,-449.75,-8995.0,IBS Exit
2025-08-29,BUY,1,23454.5,1,,,,
2025-09-04,SELL ALL,1,23684.0,0,23454.5,229.5,4590.0,IBS Exit
2025-09-16,BUY,1,24530.25,1,,,,
2025-09-19,SELL ALL,1,24861.0,0,24530.25,330.75,6615.0,IBS Exit
2025-09-23,BUY,1,24833.75,1,,,,
2025-09-26,SELL ALL,1,24726.5,0,24833.75,-107.25,-2145.0,IBS Exit
2025-10-03,BUY,1,24982.0,1,,,,
2025-10-07,BUY,1,25054.75,2,,,,
2025-10-08,SELL ALL,2,25354.0,0,25018.38,671.25,13425.0,IBS Exit
2025-10-10,BUY,1,24188.0,1,,,,
2025-10-17,SELL ALL,1,25033.5,0,24188.0,845.5,16910.0,IBS Exit
2025-10-31,BUY,1,25983.0,1,,,,
2025-11-04,BUY,1,25577.0,2,,,,
2025-11-06,BUY,1,25311.5,3,,,,
2025-11-10,SELL ALL,3,25720.75,0,25623.83,290.75,5815.0,IBS Exit
2025-11-13,BUY,1,25087.5,1,,,,
2025-11-17,BUY,1,24905.5,2,,,,
2025-11-18,BUY,1,24531.25,3,,,,
2025-11-19,SELL ALL,3,24958.75,0,24841.42,352.0,7040.0,IBS Exit
2025-11-20,BUY,1,24073.75,1,,,,
2025-11-24,SELL ALL,1,24962.75,0,24073.75,889.0,17780.0,IBS Exit
2025-12-12,BUY,1,25202.5,1,,,,
2025-12-15,BUY,1,25101.5,2,,,,
2025-12-17,BUY,1,24951.75,3,,,,
2025-12-19,SELL ALL,3,25597.5,0,25085.25,1536.75,30735.0,IBS Exit
2025-12-26,BUY,1,25856.0,1,,,,
2025-12-30,BUY,1,25676.0,2,,,,
2025-12-31,BUY,1,25434.75,3,,,,
2026-01-02,BUY,1,25394.5,4,,,,
2026-01-06,SELL ALL,4,25831.25,0,25590.31,963.75,19275.0,IBS Exit
2026-01-20,BUY,1,25142.75,1,,,,
2026-01-27,SELL ALL,1,26110.0,0,25142.75,967.25,19345.0,IBS Exit
2026-01-30,BUY,1,25639.25,1,,,,
2026-02-02,SELL ALL,1,25873.25,0,25639.25,234.0,4680.0,IBS Exit
2026-02-03,BUY,1,25421.25,1,,,,
2026-02-05,BUY,1,24425.25,2,,,,
2026-02-06,SELL ALL,2,25107.75,0,24923.25,369.0,7380.0,IBS Exit
2026-02-10,BUY,1,25257.25,1,,,,
2026-02-12,BUY,1,24822.0,2,,,,
2026-02-25,SELL ALL,2,25461.75,0,25039.62,844.25,16885.0,IBS Exit
2026-03-06,BUY,1,24661.25,1,,,,
2026-03-09,SELL ALL,1,24958.0,0,24661.25,296.75,5935.0,IBS Exit
2026-03-11,BUY,1,24945.5,1,,,,
2026-03-12,BUY,1,24568.5,2,,,,
2026-03-13,BUY,1,24335.25,3,,,,
2026-03-18,BUY,1,24606.25,4,,,,
2026-03-26,BUY,1,23822.0,5,,,,
2026-03-31,SELL ALL,5,23905.5,0,24455.5,-2750.0,-55000.0,IBS Exit
2026-04-03,BUY,1,24129.75,1,,,,
2026-04-07,SELL ALL,1,24399.25,0,24129.75,269.5,5390.0,IBS Exit
2026-04-29,BUY,1,27148.75,1,,,,
2026-04-30,SELL ALL,1,27598.5,0,27148.75,449.75,8995.0,IBS Exit
2026-05-07,BUY,1,28644.0,1,,,,
2026-05-08,SELL ALL,1,29284.5,0,28644.0,640.5,12810.0,IBS Exit
